"variant_name","country_code","year_week","new_cases","number_deaths"
Beta,AT,"2020-05",0,1947
C.1.2,AT,"2020-05",0,1947
C.16,AT,"2020-05",0,1947
C.36+L452R,AT,"2020-05",0,1947
Delta,AT,"2020-05",0,1947
Epsilon,AT,"2020-05",0,1947
Eta,AT,"2020-05",0,1947
Gamma,AT,"2020-05",0,1947
Kappa,AT,"2020-05",0,1947
Lambda,AT,"2020-05",0,1947
Mu,AT,"2020-05",0,1947
Omicron,AT,"2020-05",0,1947
Other,AT,"2020-05",0,1947
Theta,AT,"2020-05",0,1947
UNK,AT,"2020-05",0,1947
XD,AT,"2020-05",0,1947
XF,AT,"2020-05",0,1947
Zeta,AT,"2020-05",0,1947
A.23.1+E484K,AT,"2020-06",0,1682
A.27,AT,"2020-06",0,1682
A.28,AT,"2020-06",0,1682
Alpha,AT,"2020-06",0,1682
AT.1,AT,"2020-06",0,1682
AV.1,AT,"2020-06",0,1682
B.1.1.318,AT,"2020-06",0,1682
B.1.1.519,AT,"2020-06",0,1682
B.1.214.2,AT,"2020-06",0,1682
B.1.526,AT,"2020-06",0,1682
B.1.616,AT,"2020-06",0,1682
B.1.617.3,AT,"2020-06",0,1682
B.1.620,AT,"2020-06",0,1682
B.1.640,AT,"2020-06",0,1682
Beta,AT,"2020-06",0,1682
C.1.2,AT,"2020-06",0,1682
C.16,AT,"2020-06",0,1682
C.36+L452R,AT,"2020-06",0,1682
Delta,AT,"2020-06",0,1682
Epsilon,AT,"2020-06",0,1682
Eta,AT,"2020-06",0,1682
Gamma,AT,"2020-06",0,1682
Kappa,AT,"2020-06",0,1682
Lambda,AT,"2020-06",0,1682
Mu,AT,"2020-06",0,1682
Omicron,AT,"2020-06",0,1682
Other,AT,"2020-06",0,1682
Theta,AT,"2020-06",0,1682
UNK,AT,"2020-06",0,1682
XD,AT,"2020-06",0,1682
XF,AT,"2020-06",0,1682
Zeta,AT,"2020-06",0,1682
A.23.1+E484K,AT,"2020-07",0,1721
A.27,AT,"2020-07",0,1721
A.28,AT,"2020-07",0,1721
Alpha,AT,"2020-07",0,1721
AT.1,AT,"2020-07",0,1721
AV.1,AT,"2020-07",0,1721
B.1.1.318,AT,"2020-07",0,1721
B.1.1.519,AT,"2020-07",0,1721
B.1.214.2,AT,"2020-07",0,1721
B.1.526,AT,"2020-07",0,1721
B.1.616,AT,"2020-07",0,1721
B.1.617.3,AT,"2020-07",0,1721
B.1.620,AT,"2020-07",0,1721
B.1.640,AT,"2020-07",0,1721
Beta,AT,"2020-07",0,1721
C.1.2,AT,"2020-07",0,1721
C.16,AT,"2020-07",0,1721
C.36+L452R,AT,"2020-07",0,1721
Delta,AT,"2020-07",0,1721
Epsilon,AT,"2020-07",0,1721
Eta,AT,"2020-07",0,1721
Gamma,AT,"2020-07",0,1721
Kappa,AT,"2020-07",0,1721
Lambda,AT,"2020-07",0,1721
Mu,AT,"2020-07",0,1721
Omicron,AT,"2020-07",0,1721
Other,AT,"2020-07",0,1721
Theta,AT,"2020-07",0,1721
UNK,AT,"2020-07",0,1721
XD,AT,"2020-07",0,1721
XF,AT,"2020-07",0,1721
Zeta,AT,"2020-07",0,1721
A.23.1+E484K,AT,"2020-08",0,1719
A.27,AT,"2020-08",0,1719
A.28,AT,"2020-08",0,1719
Alpha,AT,"2020-08",0,1719
AT.1,AT,"2020-08",0,1719
AV.1,AT,"2020-08",0,1719
B.1.1.318,AT,"2020-08",0,1719
B.1.1.519,AT,"2020-08",0,1719
B.1.214.2,AT,"2020-08",0,1719
B.1.526,AT,"2020-08",0,1719
B.1.616,AT,"2020-08",0,1719
B.1.617.3,AT,"2020-08",0,1719
B.1.620,AT,"2020-08",0,1719
B.1.640,AT,"2020-08",0,1719
Beta,AT,"2020-08",0,1719
C.1.2,AT,"2020-08",0,1719
C.16,AT,"2020-08",0,1719
C.36+L452R,AT,"2020-08",0,1719
Delta,AT,"2020-08",0,1719
Epsilon,AT,"2020-08",0,1719
Eta,AT,"2020-08",0,1719
Gamma,AT,"2020-08",0,1719
Kappa,AT,"2020-08",0,1719
Lambda,AT,"2020-08",0,1719
Mu,AT,"2020-08",0,1719
Omicron,AT,"2020-08",0,1719
Other,AT,"2020-08",0,1719
Theta,AT,"2020-08",0,1719
UNK,AT,"2020-08",0,1719
XD,AT,"2020-08",0,1719
XF,AT,"2020-08",0,1719
Zeta,AT,"2020-08",0,1719
A.23.1+E484K,AT,"2020-09",12,1768
A.27,AT,"2020-09",12,1768
A.28,AT,"2020-09",12,1768
Alpha,AT,"2020-09",48,1768
AT.1,AT,"2020-09",12,1768
AV.1,AT,"2020-09",12,1768
B.1.1.318,AT,"2020-09",12,1768
B.1.1.519,AT,"2020-09",12,1768
B.1.214.2,AT,"2020-09",12,1768
B.1.526,AT,"2020-09",12,1768
B.1.616,AT,"2020-09",12,1768
B.1.617.3,AT,"2020-09",12,1768
B.1.620,AT,"2020-09",12,1768
B.1.640,AT,"2020-09",12,1768
